Unnamed: 0,reviewerName,overall,reviewText,reviewTime,day_diff,helpful_yes,helpful_no,total_vote,score_pos_neg_diff,score_average_rating,wilson_lower_bound,sentiment_score,sentiment_label
17,Aaron F. Virginie,5.0,"class 10 speed rating seamless full hd sandisk ultra uhs-i card feature class 10 uhs speed class 1 rating, highest video performance available recording full app card retrieve stored data almost thanks 30mb/s read capability fast bus interface. sandisk ultra microsdhc microsdxc uhs-i card offer faster app loading fluid app capacity card plenty room accommodate full hd videos, mp3s, apps, mobile files. available size 64gb, store apps, music, video app easy file included sandisk memory zone app let easily access, backup digital file phone's memory, additional memory card, cloud service one convenient place. using app, easily move file card number cloud storage ultra uhs-i memory card capture memory 185 shockproof, waterproof, x-ray-proof design. mobile device may sandisk memory card will.",2013-04-07,610,0,1,1,-1,0.0,0.0,0.8981,pos
18,Aaron Graves,5.0,read write speed better samsung sd card previously. would hesitate buy another one great micro sd card sandisk. also clip plus mp3 player work well. think i'm becoming fan sandisk products.,2014-02-05,306,0,0,0,0,0.0,0.0,0.8519,pos
19,Aaron,5.0,work video stuttering like 64gb. blah blah blah blah fill rest.,2014-07-01,160,0,0,0,0,0.0,0.0,-0.34,neg
20,Aaron,5.0,work expected. high transfer speed. nice extra microsd adapter lying around since always seem misplace them. mainly bought use nikon dslr since put card directly nook hd+ tablet field view image larger screen.,2013-10-27,407,0,0,0,0,0.0,0.0,-0.1531,neg
21,Aaron,5.0,"work great samsung galaxy s3. formatted straight away, full size there. can't really tell speed difference one slower card replaced. guess phone can't take",2013-12-29,344,0,0,0,0,0.0,0.0,0.7184,pos
22,Aaron Madden,5.0,sandisk never always sandisk product worth every penny. nice product quality work great. recommend product everyone.,2013-05-11,576,0,0,0,0,0.0,0.0,0.8834,pos
23,aaron mckaig,5.0,"good price, work flawless samsung s4! normal sandisk quality! go brand brand..",2014-04-04,248,0,0,0,0,0.0,0.0,0.7772,pos
24,Aaron Nash,5.0,san disk hard beat. pay brand get quality product. would purchase again.,2014-03-23,260,0,0,0,0,0.0,0.0,-0.2023,neg
25,Aaron Smith,5.0,installed blackberry q10 formatted. work fine. plenty storage space picture video son,2014-01-28,314,0,0,0,0,0.0,0.0,0.2023,pos
26,Aaron T. Swain,5.0,"received card, class 10 64gb correct received unopened sandisk packaging. going use htc hope works. read, work reformatting disk. update review issue using it, not, rating remain",2012-07-26,865,1,1,2,0,0.5,0.0945312057342307,0.4404,pos
27,A. Atkinson,5.0,"stuck s2, formatted settings, work great! already filled music, pic videos... get card, format right, problems. phone right, got haha...",2012-11-21,747,0,0,0,0,0.0,0.0,0.1759,pos
28,ABailey8833,5.0,"purchased two one samsung tablet one samsung galaxy note. great hardware truly speedy, responsive meet",2012-12-28,710,1,0,1,1,1.0,0.2065493143772374,0.8591,pos
29,abbadon,5.0,"advertised, spec match. long device using handle (i.e. usb delivers advertised speed. p.s. speed read, write, knew that, right?",2013-10-25,409,0,0,0,0,0.0,0.0,0.0,neg
30,ABC317,5.0,item great! can't believe small is. imagine 64gb size back 70's whole full computer pack much space! great item.,2013-10-16,418,0,0,0,0,0.0,0.0,0.8684,pos
31,Abdul Purnell Askew SR,5.0,"i've trying get hold 32gb micro sd phone tablet. pretty fast compared 16gb card i've using. really saw performance boost phone, many apps, pictures, music, document on. phone boot fully stable 2 min computer also write card much faster 16gb one using. phone, tablet device support recommend purchase these. also pay like half price using amazon opposed retail store who's price least double more. i've seen card going",2013-04-15,602,0,0,0,0,0.0,0.0,0.9399,pos
32,"Abdulrahman J. Alrashed ""dr34m3r""",1.0,"bought 2 sandisk 32 gb microsd , used galaxy note galaxy one , phone started saying removed , recognize :) thought luck , plugged 2nd one :) 2 month died suddenly ! lost buying sandisk .. ever",2013-03-08,640,0,0,0,0,0.0,0.0,0.5255,pos
33,"Abel Feliciano ""Ace Master""",4.0,memory card excellent condition work described. dependable easy use. excellent choice requires storage.,2012-11-09,759,0,0,0,0,0.0,0.0,0.8834,pos
34,A. Bell,5.0,i've got couple varying sizes. i've problem complaint speed. always end buying price low get.,2013-08-18,477,0,0,0,0,0.0,0.0,-0.7184,neg
35,A. Berrios,5.0,8 gig memory note 2 running room. much memory space available know it.,2014-10-05,64,0,0,0,0,0.0,0.0,0.0,neg
36,Abe The Babe,5.0,bought surface pro. i've month i've problems. fast stable.,2013-07-30,496,0,0,0,0,0.0,0.0,-0.128,neg
37,Abhi gautam,5.0,would recommend card transfer speed - excellent card galaxy s2. need format card anything. 100% satisfied.,2012-07-10,881,1,0,1,1,1.0,0.2065493143772374,0.8402,pos
38,Abraham Arturo Meza Marin,1.0,"bougth micro sd card got kingston, tell sandisk quality, best, phone read 64gb fast, transfer speed pc amazing, looking additional storage phone, music, picture type files, good quality material one year memory damaged delete put new file it, format memory, tried format phone, pc, camera like 64gb data memory available read delete it, bought memory used backup data android device readable memory write data more, hope sandisk make better product total buy samsung memory card expected better quality.",2013-02-19,657,0,0,0,0,0.0,0.0,0.9612,pos
39,Abraham,5.0,"using gps camera, waste time buying brand buy best start with.",2013-12-08,365,0,0,0,0,0.0,0.0,0.34,pos
40,"Abraham Kovler ""ripvanlink""",5.0,"fantastic little drive, gigabyte says, work way use hold flac recording play excellent fiio x5 digital audio player. real thing one fake that, there.",2014-09-07,92,0,0,0,0,0.0,0.0,0.765,pos
41,Abram Vargas,5.0,"happy micro sd. could tell difference response time bb well asus tablet. want something transfer file photos, videos, music faster micro sd card you. say faster card price. trick devices. professional photographer might want go ultra 3 micro sd everyday user work wonder device.",2012-08-13,847,0,0,0,0,0.0,0.0,0.7351,pos
42,A. Brattoli,5.0,"i've purchased several little baby years, always buy sandisk. i've never one fail, price great amount storage get.",2014-10-03,66,0,0,0,0,0.0,0.0,0.7876,pos
43,"Abused Commuter ""abused_commuter""",1.0,"ordered galaxy s3. lasted month accessible several different warranty - one month lose picture $$ crappy return future buying kingston, amazon customer service made good refunded purchase price. still buying sandisk memory card",2013-07-20,506,0,1,1,-1,0.0,0.0,-0.4019,neg
44,abushaheed,4.0,"like 8mb/s note 10.1 that's using sandisk's app. bit faster note ii, still disappointment device quad core sure card device, benefit doubt four stars.",2013-06-01,555,0,0,0,0,0.0,0.0,0.25,pos
45,"A. Bystricky ""Tony B.""",5.0,"much say plug play, good quality fit lot video good good",2014-02-17,294,0,0,0,0,0.0,0.0,0.9118,pos
46,AC500Driver,5.0,"new camcorder required fast sd sandisk product always provided first class service, extra cost well worth it.",2014-03-04,279,0,0,0,0,0.0,0.0,0.4588,pos
47,"A. Carr ""game hater""",5.0,"tiny marvel possible problem small may lose happen drop handling. 16 gb capacity, handling often.",2014-04-29,223,0,0,0,0,0.0,0.0,-0.5719,neg
48,acballer,5.0,job price right. came quickly i'm happy purchase. would recommend would again.,2014-01-19,323,0,0,0,0,0.0,0.0,0.7351,pos
49,Ace of Sevens,2.0,"used month phone, decided quit mounting. lost picture died shortly got replacement card, send old one, giving chance recovering contents. new one's worked fine, failing 3 month",2014-01-31,311,0,0,0,0,0.0,0.0,-0.6124,neg
50,ac,5.0,"memory card either work doesn't. always going one star five star review - middle adapter nice bonus too, though think anything use with.",2013-07-21,505,0,0,0,0,0.0,0.0,0.743,pos
51,AC,5.0,"purchased card use contourroam2 work great. put card camera, format it, good go. allows easily record hour video without running space slowing down.",2013-01-14,693,0,0,0,0,0.0,0.0,0.8555,pos
52,A. Chock,5.0,upgraded 32gb 64gb card galaxy note phone. look like work fine full capacity. good product.,2012-12-28,710,0,0,0,0,0.0,0.0,0.7351,pos
53,A. Cho,4.0,"everything great, except adapter. tight use tool take back adapter causing chip it. fault guess, also bought 16gb version adapter one fine.",2013-10-07,427,0,0,0,0,0.0,0.0,0.4939,pos
54,a_compulsive_reader,5.0,"liked first one purchased much, bought second one. very, fast read write speed good price, plus sandisk best software device compatibility. forget thumb drive - durable option. use direct tablet smart phone and/or buy decent usb card reader load and, voila, instant thumb drive. work great tablet newer card reader - still butt every thumb drive know even used old plastic usb 2.0 card reader held together tape, purchased several microsd card since first came out, 2gb 32gb, still work fine - cannot say thumb drive purchased time point - beware counterfeits. samsung number one brand so, unfortunately, get counterfeited lot. check review buy reliable seller. suggest buying direct amazon (or memory - purchased issues.",2013-11-23,380,0,0,0,0,0.0,0.0,0.938,pos
55,acondie13,5.0,really can't say anything bad it. says. super fast great storage size lot movie such.,2014-03-16,267,0,0,0,0,0.0,0.0,0.8968,pos
56,ACZ,4.0,"used phone plenty fast work like should. unexpectedly come mini full sd card size adapters, nice. packaging whatever was, packaging decent impossible mess messed up.",2013-05-11,576,0,0,0,0,0.0,0.0,0.1027,pos
57,adam,5.0,standard micro sd card would recommend anyone. purchased dad using expand memory tablet! shipped fast slight bit cheaper store believe.,2014-08-01,129,0,0,0,0,0.0,0.0,0.6239,pos
58,Adam J. Hanson,5.0,"ordered new samsung galaxy note ii, work awesome! installed it, problems. loaded music it, even surface capacity card! ever worry running room card. highly recommended smartphone user!",2013-01-27,680,0,0,0,0,0.0,0.0,0.3546,pos
59,"Adam J. Lomprey ""lompreya""",5.0,great deal much faster file worth purchase sandisk proved good products.,2013-08-27,468,0,0,0,0,0.0,0.0,0.836,pos
60,Adam M Barnes,5.0,"pay $10 anywhere else. initially buying another sd card amazon. 4 year ago so, card fake 32 gig plugged computer, could load 11 onto it, would say apparently there's way fool computer thinking there's space is, card one. real deal, genuine sandisk, contains many gb say does. i'm pleased customer.",2014-12-02,6,0,0,0,0,0.0,0.0,-0.4728,neg
61,Adam M.,5.0,"use samsung galaxy s4. almost year now, problems, really expands memory capabilities, easy enough install.",2014-07-13,148,0,0,0,0,0.0,0.0,0.2862,pos
62,adam smith,5.0,"32gb storage new asus tablet, what's love? can't imagine paying model upgraded storage, especially since usually like $100 more. thing cheap work great.",2013-11-26,377,0,0,0,0,0.0,0.0,0.9014,pos
63,"Adam Sorenson ""Adam""",5.0,"excellent quality, excellent speed. complaint here. easy use, reliable red stripe front make easy find desk",2013-12-12,361,0,0,0,0,0.0,0.0,0.9001,pos
64,"Adam Wright ""Electrical Engineer""",3.0,"card uhs1 actually mean go necessary bad, false advertising.",2013-09-09,455,1,0,1,1,1.0,0.2065493143772374,-0.5423,neg
65,Adan Montiel,5.0,"purchase hp tablet memory music pictures, video. enough room store memory left over.",2014-08-02,128,0,0,0,0,0.0,0.0,0.0,neg
66,Adanna,5.0,"anything wrong sandisk item read quickly, quite happy,",2014-03-01,282,0,0,0,0,0.0,0.0,0.2247,pos
67,adavey,5.0,lot people want big memory fine. need look speed class. one class 10. great taking picture video. freeze move mb/s fast enough. lesser speed card freeze say waiting camera miss moment. also sandisk name trust come memory cards.,2012-12-21,717,0,0,0,0,0.0,0.0,0.8519,pos
68,Adeel Azhari,5.0,"fast transfer rates, downloaded 2gb video form card laptop card reader, minute",2013-07-07,519,0,0,0,0,0.0,0.0,0.0,neg
69,adg44,5.0,"something said sandisk. plug works. i've never one doa memory issue throughout years, camera storage products. installed galaxy siii recognized right away able dump music onto it. speed seems great well, complaints.",2012-11-26,742,0,0,0,0,0.0,0.0,0.5577,pos
70,A discerning buyer,5.0,praise extra memory? fill mp3 player every song heart sound quality perfect. ease use superb. great.,2013-08-20,475,0,1,1,-1,0.0,0.0,0.9584,pos
71,Adrian,5.0,"though state 16gig available know happens expected it, keep mind wanting storage might want order 32gig card. exactly expected needed complaints.",2012-06-12,909,0,0,0,0,0.0,0.0,-0.34,neg
72,Adrian,5.0,"job need extra memory phone/tablet whatever device,",2014-10-02,67,0,0,0,0,0.0,0.0,0.0,neg
73,"Adrianne Ayres ""Sabrina""",5.0,needed cell phone - work perfectly. sandisk never disappointment 30 plus year i've work.,2013-12-16,357,0,0,0,0,0.0,0.0,0.7847,pos
74,A E D III,5.0,"priced right, memory card also read writes fast. noticeable difference cheaper cards. put phone plan buy another one tablet.",2013-11-10,393,0,0,0,0,0.0,0.0,0.0,neg
75,A. Felson,5.0,"work great sprint htc evo 4g lte. formatted w/ fat32 course maximum file size 4gb meaning full length movies. however, problem; bought card putting music library class 10 micro-sdhc cards, 10mb/s, closer class 10 card i've ever tried. kingston 32gb 7mb/s. card wait till 128gb 256gb card become available affordable.",2012-10-15,784,1,1,2,0,0.5,0.0945312057342307,0.34,pos
76,A.Fenderson,5.0,"128 gb card stopped allowing writes via window inside several full-size sd card adapter (with write-protect tab either plugged directly microsd slot reader. microsd card write-protect tab, quite surprised worried this. failing find solution searching online, finally put chromebook created new folder there, stuck back window pc longer gave write-protect error. anyone similar problem, i'd recommend something similar putting pc, laptop, camera, etc available try writing portion review necessarily written update original review 64 gb version card, since amazon multiple review consider item. portion concern 128 gb version need fast card, speed card important, besides test pc exactly therefore count speed result got using usb 2.0 card adapter, thought might relevant readers. card reach class-10 and/or uhs-i came claimed ""read speed 30 mb/s fast file again, running second pc using different usb 2.0 card reader, none speed even hit 5 mb/s, seems highly got card week, far work sdxc-compatible device exfat-compatible operating sdxc-compatible devices, panasonic allow card larger 64 gb (for whatever stated i've confirmed card recognized device, whereas 64 gb exfat card work fine. 128 gb work fine (with original exfat toshiba 7.7 android tablet, galaxy note 2 (though possibly would reformatted fat32, since 64 gb card fat32 work fine update review reflect problems, issues, etc notice coming day & (c) 2007-2013 hiyohiyocrystal dew world : removed per amazon mb/s = 1,000,000 byte/s [sata/300 = 300,000,000 byte/s]sequential read : mb/ssequential write : mb/srandom read 512kb : mb/srandom write 512kb : mb/srandom read 4kb (qd=1) : mb/s [ iops]random write 4kb (qd=1) : mb/s [ iops]random read 4kb (qd=32) : mb/s [ iops]random write 4kb (qd=32) : mb/s [ iops]test : 1000 mb 0.0% gb)] (x5)date : : window xp professional build following original review 64 gb version card, published april card. i've used variety devices, multiple reader different pcs, hd camcorder using micro full-sized sd adapter, i've never problem it. even work full capacity device reformatted fat32 (such sandisk clip+ flac player supposedly even psps via proper adapter, though yet tested keep someone coming card equal better capacity speed comparable price, seen one yet. cheaper, i'd several sure device handle micro full-sized sdxc cards, one rare gem state support high sdhc tested work sdxc card one they've manually reformatted fat32.",2013-04-24,593,3,0,3,3,1.0,0.4385029682449545,0.9103,pos
77,AF,5.0,"work great phone wife love it, got second mom storing lot picture video",2014-06-22,169,0,0,0,0,0.0,0.0,0.8519,pos
78,A. Flores,5.0,loaded card home movie samsung galaxy tab 2. copy process computer card fast. skip movie quality plenty room left go. wish bought another,2013-01-25,682,0,0,0,0,0.0,0.0,0.4019,pos
79,A. Garcia,5.0,"bought s3 loaded 4 season 5 full length hd movies, several dozen 30 minute show plenty room left pictures, slight booting recovery mode s3 recognize card. wanted update phone latest version android would see it. resort 2gb microsd laying around. sd card issue thought would throw in.",2013-07-29,497,0,0,0,0,0.0,0.0,0.0,neg
80,Agean2010,5.0,"purchased wife bought samsung galaxy s4 store music, picture videos. s4 camera capable capturing photo 16gb microsd matter fact i've already remaining space card 64gb allow take photo (of",2014-07-01,160,0,0,0,0,0.0,0.0,0.5574,pos
81,Aggies82,5.0,"great storage, failed yet year usage.",2014-06-30,161,0,0,0,0,0.0,0.0,0.2023,pos
82,"A. Ghayyath ""AAG""",5.0,"since wife using causing problems, must functioning look good far.",2013-06-02,554,0,0,0,0,0.0,0.0,0.0516,pos
83,A.G.,5.0,class 10 speed way fly 29.71gb usable space think good while.,2014-06-04,187,0,0,0,0,0.0,0.0,0.4404,pos
84,"A. Gill ""Measure Twice, Cut Once""",5.0,"subject say all. supposed ... great price. sale, buy it.",2012-11-27,741,0,0,0,0,0.0,0.0,0.6249,pos
85,A. GONZALEZ MEDINA,5.0,"lot question memory card fitting samsung galaxy tab 3 10.1 tablet. fit work problem all. thing instead showing 64gb available, show formatting card idea limit set galaxy tab 3 tablet, buy 64gb get le surely problem coming sandisk memory card, rating excellent price, work great, quick delivery.",2014-02-17,294,0,0,0,0,0.0,0.0,0.8316,pos
86,Agustin,5.0,"come kind flash storage sandisk always go brand sell quality item stand there's problem. usual complaint here, work issues. read write speed right spec say be.",2014-03-26,257,0,0,0,0,0.0,0.0,-0.128,neg
87,Agustin Mangialavori,5.0,"high speed, high capacity storage. great durability. use phone digital camera. work good",2013-11-06,397,0,0,0,0,0.0,0.0,0.7906,pos
88,A. Gutierrez,5.0,memory help keep want keep cell phone.it good brand right price.,2014-04-21,231,0,0,0,0,0.0,0.0,0.7096,pos
89,A. Hejazi,4.0,"bought sd card android phone thinking class 10 faster reliable others. turn out, difference class really matter least android phones. really worth price difference",2013-12-12,361,0,0,0,0,0.0,0.0,0.379,pos
90,A.,5.0,sandisk 32gb micro sd class 10 reliable sd card amazing transfer speeds. noticeable lag transfering even largest raw image it. problem it.,2013-04-13,604,0,0,0,0,0.0,0.0,-0.0772,neg
91,ahhsimon,4.0,good card. work issue going pas metal lost file missing files.,2014-06-02,189,0,0,0,0,0.0,0.0,-0.1531,neg
92,Aileen Nguyen,5.0,"bought store music phone. work flawlessly three month far, card reader, average 6-8 megabyte read write it.",2014-03-26,257,0,0,0,0,0.0,0.0,0.2023,pos
93,Airedad,5.0,"i'm ordered amazon tuesday morning, arrived mail. impressive service already card format 59 gb, performs perfectly samsung galaxy iii (which also using two card reader fast pc, transferred everything old 16gb card new 64 gb card le time took walk get cup think class 10 rating correct experience card phone, i'll benchmark card i'll also benchmark operation backing android phone card. i'll update review accurate data. mean time first look, person said 3 problem anything faster class 6 may correct - full backup phone card significantly faster backup old 16gb class 6 card. benchmark yet i'll include i'm happy card i'm really impressed - card quick service amazon (and i'm shipment like one often take full 3 day",2012-07-25,866,15,6,21,9,0.7142857142857143,0.5004361928391441,0.9509,pos
94,ajb03,5.0,"excellent, one best, can't go wrong card, class 10 necessary show noticeable significant class 4",2013-12-23,350,0,0,0,0,0.0,0.0,0.9053,pos
95,ajb,5.0,"bought 64gb microsd card best buy needed one microsoft surface pro. provides space need people need lot space quick books, picture editing, games, etc.) card one you. need much space, consider buying one cheaper little le aware microsdxc format card. new computer support format, many older computer (this includes tablet buying this, make sure computer, tablet, smartphone compatible. not, work, period. others claim card work matter try, chance machine cannot support microsdxc format.",2013-03-25,623,4,0,4,4,1.0,0.5101091635454027,0.9186,pos
96,A.J. Matheson,4.0,"got pas deal, incredibly fast htc sensation 4g. picture taken saved days, happy. shipping fast packaging easy open always great book. issue format computer first phone able recognize it.",2012-11-26,742,0,0,0,0,0.0,0.0,0.926,pos
97,A.J.O. From California,5.0,"get lot storage small price. micro sd adapter, class 10 fast . happy purchase too. hope review",2014-05-24,198,0,0,0,0,0.0,0.0,0.765,pos
98,A. J. Stavsky,5.0,"ultra micro sdhc fine got working. neither packaging sansa clip player inform user player need totally microcard inserted. not, unit read card! love storage even 16 gb, let alone 32,",2013-11-25,378,0,0,0,0,0.0,0.0,0.6476,pos
99,"AJZ ""~AZ""",5.0,upgraded price dropped. originally 16gig sandisk card mytouch 4g. found toward mytouch end life space running low. got galaxy s3 bought card. work flawlessly. highly recommend it. error ever. super fast transfer rate.,2013-03-14,634,0,0,0,0,0.0,0.0,0.5314,pos
100,ak2012,5.0,item priced right fit right cell phone without issues. suppose know else could say. class 10 suppose plenty fast cell phone use sure speed camera use worked well shipping fast.,2013-04-26,591,0,0,0,0,0.0,0.0,0.7096,pos
101,AK529,4.0,"got memory card samsung galaxy s3. running room sandisk 32gb class 4 micro sd card. also wanted faster durable card. put lot medium it. addition nandroid backup custom roms. later found since card formatted ex-fat would work make nandroid backup flash custom roms. custom recovery custom rom dont work ex-fat. choice format card fat 32, meant put file larger 4gb it. besides card great reasonable price $50. one root phone put custom roms, nandroid backup put file larger 4gb affect you. memory card fast provides storage put mobile device time. card also water proof, shock proof come lifetime warranty. ive never issue sandisk memory card usb flash drives. last really long time.",2013-04-02,615,1,0,1,1,1.0,0.2065493143772374,0.3612,pos
102,A. Kaplan,5.0,"using included adaptor macbook pro transfer files, impressed speed card.",2014-07-01,160,0,0,0,0,0.0,0.0,0.4767,pos
103,"A. Kenneth Webster ""Ken Webster""",5.0,got store movie music samsung note much say memory card except work expected.,2014-05-03,219,0,0,0,0,0.0,0.0,0.0,neg
104,A. Kim,5.0,purchased version expand memory 16gb android tablet. nothing fancy job. problem played back flawlessly file many different microsd card see sale might want consider instead cheaper no-name brand.,2014-02-01,310,0,0,0,0,0.0,0.0,0.794,pos
105,A. Kinney,5.0,i've ordered sd card one best overall. shipping excellent fast reliable. would recommend anyone looking quality product. thanks again!,2014-07-01,160,0,0,0,0,0.0,0.0,0.9273,pos
106,akisadr,5.0,use phone work totally worth money! great place store picture music phone instead using phone memory still run fast.,2013-07-10,516,0,0,0,0,0.0,0.0,0.7813,pos
107,Alaa S. AL Sinan,4.0,bought two one asus infinity one samsung galaxy s3 international version. worked fine asus work phone. formatted card using tablet laptop work test apps using apps nothing showed working way got work formatting canon slr camera.,2013-10-01,433,0,0,0,0,0.0,0.0,0.2023,pos
108,Alan,2.0,"work actual r/w speed mb/s, even class 10. ""sandisk sandisk unless mean ultra slow. 2014 excuse slow card update test instead using non uhs-i pc latest result since read speed hit believe device still underwhelmed write speed though.",2014-03-25,258,0,0,0,0,0.0,0.0,0.0772,pos
109,Alan,4.0,sandisk ultra 32 gb microsdhc c10/uhs1 memory card ultra 32 gb microsdhc c10/uhs1 memory card fine.,2014-01-31,311,0,0,0,0,0.0,0.0,0.2023,pos
110,Alan Smithee,5.0,great adding ton storage smartphone device. fast enough need price right.,2013-12-04,369,0,0,0,0,0.0,0.0,0.6249,pos
111,"Albert C. Marth ""Albert c. Marth""",5.0,can't possibly go wrong san disc product! although purchased used san disc past never,2014-01-19,323,0,0,0,0,0.0,0.0,0.4303,pos
112,Albert,3.0,job fairly cheap worth. return first one exchange another first one defective. sandisk really need better quality products. second one work perfectly fine. use gopro camera.,2014-04-05,247,0,0,0,0,0.0,0.0,0.8008,pos
113,Albert,4.0,"bought son's tablet videos, movie game downloading 5 they'll small simple",2013-12-04,369,0,0,0,0,0.0,0.0,0.0,neg
114,"Albert Macias Jr. ""Baretoes""",5.0,"bought friend mine put video it. initially, plugged computer, find storage however, finding micro sd usb worked like charm that. install videos, plugged card phone, sure needed adapter, get computer recognize it. also used linux go",2013-08-18,477,0,0,0,0,0.0,0.0,0.8658,pos
115,"Alberto Figueroa ""U.S. Air Force""",5.0,"sandisk ultra 64gb micro card great addition maximize samsung galaxy whatever version got 16gb 32gb. fast memory great price. plenty space pictures, video android applications. good 1080 video galaxy use. super fast. got advanced smartphone market do, memory get right price.",2012-12-10,728,1,0,1,1,1.0,0.2065493143772374,0.9517,pos
116,Alberto,5.0,installed samsung tablet tab 2 7.0. definitely performance difference tablet especially load apps.,2014-03-02,281,0,0,0,0,0.0,0.0,0.4019,pos
117,"Alberto Joao Briguet Nt ""A. Briguet""",5.0,memory work samsung smartphones fast reliable memory market,2014-01-13,329,0,0,0,0,0.0,0.0,0.0,neg
118,ALBERTO MENDOZA ALVAREZ,5.0,"love it, good quality good performance, great brand. could find better product money. using samsung galaxy s4 mini zero",2014-10-01,68,0,0,0,0,0.0,0.0,0.9517,pos
119,Al Campbell,5.0,product arrived two day exactly ordered work great galaxy s3. know class 10 exactly needed cell phone cannot right? i'm happy purchase.,2013-02-27,649,0,0,0,0,0.0,0.0,0.2737,pos
120,Ale-B,5.0,expanded samsung tab 10.1 tablet 1gb 32gb work fast see lags. store ten movie tab play right flash disc happy card.,2013-10-30,404,0,0,0,0,0.0,0.0,0.5574,pos
121,A. Lee,5.0,"update: providing update regard sandisk support.i bought memory card aug 2012 (see original review may 2013 cruise card went bad. san fine used take panorama shot golden cruise using dslr next time wanted use cell phone, phone told memory card loaded. way, tested card laptop got back recognize it. contacted sandisk via email provide copy amazon along serial number back card (very hard read) told send back card sent brand new card still functioning cell phone. great support provide sandisk. hassle long provide proof purchase since amazon keep entire purchase one reason buy directly amazon v vendor amazon elsewhere internet) confidence memory card sold amazon genuine. may incredible deal elsewhere internet case deal good true counterfeit card received today. removed packaging inserted samsung galaxy s3 (verizon) powered unit back storage available. formatting required. worked first time out. setting showed 29.71gb total space (32gb version) 29.71gb free space. like fact sd adapter came it. ever need insert card laptop come handy. (yes plug phone directly laptop ever swap 32gb card phone replace 64gb version, use 32gb version via adapter purposes.)",2012-05-09,943,5,0,5,5,1.0,0.5655175352168252,0.9766,pos
122,Alejandro Hernndez,3.0,"still feel fast phone, guess need remove run r/w tests. still ok.",2014-03-02,281,0,0,0,0,0.0,0.0,0.296,pos
